Source node;Target node;Quantity;% of imports for site per century;% of all pottery for site per century;15;16;17;18;19;20
Didymoteicho;Izmir;75;7.5;4.1;;;;X;;
Chanakkale;Izmir;100;10;5.5;;;;X;;
Kutahya;Izmir;270;26.9;14.8;;;;X;;
Levant;Izmir;5;0.5;0.3;;;;X;;
Abisola_Italy;Izmir;112;11.1;6.1;;;;X;;
Montelupo_Italy;Izmir;14;1.4;0.8;;;;X;;
Italian_States;Izmir;25;2.5;1.4;;;;X;;
Liguria_Italy;Izmir;4;0.4;0.2;;;;X;;
France;Izmir;206;20.5;11.3;;;;X;;
Delft;Izmir;18;1.8;1;;;;X;;
England;Izmir;91;9.1;5;;;;X;;
Meissen;Izmir;62;6.2;3.4;;;;X;;
China;Izmir;23;2.3;1.3;;;;X;;
Iznik;Belgrade;17;94.4;7.3;;X;;;;
Iznik;Belgrade;10;45.5;4.2;;;X;;;
Central_Europe;Belgrade;8.5;38.6;3.6;;;X;;;
Central_Europe;Belgrade;2.5;83.3;83.3;;;;X;;
Italian_States;Belgrade;2.5;11.4;1.1;;;X;;;
Italian_States;Belgrade;0.5;16.7;16.7;;;;X;;
China;Belgrade;1;5.6;0.4;;X;;;;
China;Belgrade;1;4.5;0.4;;;X;;;
Miletus;Sofia;8;42.1;21.9;X;;;;;
Levant;Sofia;1;2.2;1.7;;;X;;;
Valencia_Spain;Sofia;2;10.5;5.5;X;;;;;
Valencia_Spain;Sofia;1;2.4;1.6;;X;;;;
Ephesus;Sofia;6;31.6;16.4;X;;;;;
North_Sebia_South_Hungary;Sofia;1.5;3.6;2.4;;X;;;;
North_Sebia_South_Hungary;Sofia;1.5;3.3;2.5;;;X;;;
Florence_Italy;Sofia;2;10.5;5.5;X;;;;;
Faenza_Italy;Sofia;1;2.4;1.6;;X;;;;
Liguria_Italy;Sofia;2;4.4;3.4;;;X;;;
Montelupo_Italy;Sofia;0.5;1.2;0.8;;X;;;;
Montelupo_Italy;Sofia;0.5;1.1;0.8;;;X;;;
Italian_States;Sofia;1;2.2;1.7;;;X;;;
China;Sofia;3.5;7.8;5.9;;;X;;;
China;Sofia;2.5;6;4.1;;;;X;;
Iznik;Sofia;1;5.3;2.7;X;;;;;
Iznik;Sofia;37.5;90.4;61;;X;;;;
Iznik;Sofia;22.5;50;37.8;;;X;;;
Kutahya;Sofia;10;23.8;16.4;;;;X;;
Iznik/Kutahya;Sofia;13;28.9;21.8;;;X;;;
Iznik/Kutahya;Sofia;13;31;21.3;;;;X;;
Meissen;Sofia;10;23.8;16.4;;;;X;;
Meissen;Sofia;5;50;17.2;;;;;X;
Meissen;Sofia;3;85.7;85.7;;;;;;X
Thuringia;Sofia;2;4.8;3.3;;;;X;;
England;Sofia;1;2.4;1.6;;;;X;;
England;Sofia;1.5;15;5.2;;;;;X;
England;Sofia;0.5;14.3;14.3;;;;;;X
Vienna;Sofia;3.5;8.3;5.7;;;;X;;
Vienna;Sofia;3.5;35;12.1;;;;;X;
China;Varna;6;24.5;1.4;;;;X;;
Meissen;Varna;2;8.2;0.5;;;;X;;
Miletus;Varna;1;50;8.8;X;;;;;
Iznik;Varna;12.5;62.5;9.9;;X;;;;
Iznik;Varna;9.5;47.5;2.2;;;X;;;
Orvieto_Italy;Varna;1;50;8.8;X;;;;;
Tuscany_Italy;Varna;2;10;1.6;;X;;;;
Tuscany_Italy;Varna;2;10;0.5;;;X;;;
Italian_States;Varna;4.5;22.5;3.6;;X;;;;
Italian_States;Varna;4.5;22.5;1;;;X;;;
Chanakkale;Varna;1.5;6.1;0.4;;;;X;;
Chanakkale;Varna;3.5;100;5.8;;;;;X;
Kutahya;Varna;15;61.2;3.5;;;;X;;
Akchalaan;Varna;3;15;0.7;;;X;;;
North_Sebia_South_Hungary;Varna;1;5;0.8;;X;;;;
North_Sebia_South_Hungary;Varna;1;5;0.2;;;X;;;
Chanakkale;Mytilini;1;13.9;3;;;;;X;
Iznik;Mytilini;2.5;100;8.1;;X;;;;
Iznik;Mytilini;2.5;31.3;6.6;;;X;;;
Kutahya;Mytilini;52;79.1;57.5;;;;X;;
Iznik/Kutahya;Mytilini;2.5;31.3;6.6;;;X;;;
Iznik/Kutahya;Mytilini;2.5;3.8;2.8;;;;X;;
Didymoteicho;Mytilini;0.5;6.9;1.5;;;;;X;
Didymoteicho;Mytilini;0.5;13.5;1.9;;;;;;X
Japan;Mytilini;0.5;6.9;1.5;;;;;X;
Japan;Mytilini;0.5;13.5;1.9;;;;;;X
Miletus;Mytilini;7;87.5;16.9;X;;;;;
West_Europe;Mytilini;2.5;3.8;2.8;;;;X;;
West_Europe;Mytilini;2.5;34.7;7.6;;;;;X;
Syria;Mytilini;1;12.5;2.4;X;;;;;
South_Italy;Mytilini;0.5;6.9;1.5;;;;;X;
South_Italy;Mytilini;0.5;13.5;1.9;;;;;;X
Syria;Mytilini;1.7;2.6;1.9;;;;X;;
Syria;Mytilini;1.7;23.6;5.2;;;;;X;
Syria;Mytilini;1.7;45.9;6.4;;;;;;X
Montelupo_Italy;Mytilini;1;12.5;2.6;;;X;;;
Montelupo_Italy;Mytilini;1;1.5;1.1;;;;X;;
China;Mytilini;2;25;5.3;;;X;;;
China;Mytilini;6;9.1;6.6;;;;X;;
Italian_States;Mytilini;0.5;6.9;1.5;;;;;X;
Italian_States;Mytilini;0.5;13.5;1.9;;;;;;X
Venice;Sofia;0;;;;;;;;
Istanbul;Sofia;0;;;;;;;;
St_Petersburg;Sofia;1;;;;;;;;
Copenhagen;Sofia;2;;;;;;;;
Sevres;Sofia;3;;;;;;;;
Berlin;Sofia;4;;;;;;;;
Munich;Sofia;5;;;;;;;;
